Operação	Nível	Conteúdo	Descrição	Animation
AD	1	AD	Há termos nesta equação que se pode aplicar uma das 4 operações básicas.	EI
AD	2	AD	Qual operação é descrita entre os termos <eq t+> e <eq +t>?	TE
AD	3	AD	A equação apresenta termos compatíveis para serem somados. <eq t+> e <eq +t>?	EQ
AD	4	AD	Os termos <eq t+>  e <eq +t>  estão ligados por uma operação de soma.	EO
AD	5	AD	Some <eq t+> com <eq +t>. Resultando em <PP>.	ER
SB	1	SB	Há termos nesta equação que se pode aplicar uma das 4 operações básicas.	EI
SB	2	SB	Qual operação é descrita entre os termos <eq t-> e <eq -t>?	TE
SB	3	SB	A equação apresenta termos compatíveis para serem subtraídos.	EQ
SB	4	SB	Os termos <eq t->  e <eq -t> estão ligados por uma operação de subtração.	EO
SB	5	SB	Subtraia <eq t-> com <eq -t>. Resultando em <PP>. ER	NO
MT	1	MT	Há termos nesta equação que se pode aplicar uma das 4 operações básicas.	EI
MT	2	MT	Qual operação é descrita entre os termos <eq t*> e <eq *t>?	TE
MT	3	MT	A equação apresenta termos compatíveis para serem multiplicados.	EQ
MT	4	MT	Os termos <eq t*>  e <eq *t> estão ligados por uma operação de multiplicação.	EO
MT	5	MT	Multiplique <eq t*> por <eq *t>. Resultando em <PP>.	ER
DV	1	DV	Há termos nesta equação que se pode aplicar uma das 4 operações básicas.	EI
DV	2	DV	Qual operação é descrita entre os termos <eq t/> e <eq /t>?	TE
DV	3	DV	O termo <eq t/> é múltiplo de <eq /t>.	EO
DV	4	DV	Os termos <eq t/>  e <eq /t> estão ligados por uma operação de divisão.	EO
DV	5	DV	Divida <eq t/> por </t>. Resultando em <PP>.	ER
DM	1	DM	Que operação pode ser aplicada sobre <eq t*> e <eq *t>?	TE
DM	2	DM	Que propriedade da multiplicação permite operar <eq t*> com <eq *t>?	TE
DM	3	DM	Aplique a propriedade distributiva da multiplicação nos termos <eq t*> e <eq *t>.	TE
MM	1	MM	Há frações nesta equação, como fazemos a equivalência delas?	TF
MM	2	MM	Observe que as frações a serem operadas possuem denominadores diferentes. O que você pode fazer para operá-las?	TF
MM	3	MM	Calcule o Mínimo Múltiplo Comum dos termos <eq MM>.	TE
OI	1	OI	Há dois termos que podem ser operados, no entanto esses estão em lados opostos da igualdade. O que pode ser feito para operá-los?	LE
OI	2	OI	Como operar <eq tOI> e <eq OIt> ?	TE
OI	3	OI	Qual a operação inversa do termo <eq OIt>?	TE
OI	4	OI	Aplique a operação inversa em <eq tOI>. Resultando em <PP>.	ER
SP	1	SP	Há uma operação possível de ser aplicada sobre a fração <eq t/t>.	TE
SP	2	SP	Nesta situação há termos equivalentes. Qual operação aplicar para que esta fração se torne irredutível?	EQ
SP	3	SP	Os termos <eq t/ > e <eq /t> possuem um número múltiplo em comum.	TE
SP	4	SP	Esta fração pode ser simplificada.	EQ
SP	5	SP	Simplifique <eq t/> e <eq /t>, resultando em <PP>.	ER
QS	1	QS	Que operação pode ser aplicada sobre <eq t^>^2?	NO
QD	1	QD	Que operação pode ser aplicada sobre <eq t^>^2?	NO
QS	2	QS	Qual relação se estabelece entre o produto notável Quadrado da Soma/Diferença?	NO
QD	2	QD	Qual relação se estabelece entre o produto notável Quadrado da Soma/Diferença?	NO
QS	3	QS	Utilize o produto notável: \n - Se (a+b)^2, então a^2+2*a*b+b^2 \n  - Se  (a-b)^2, então a^2-2*a*b+b^2	NO
QD	3	QD	Utilize o produto notável: \n - Se (a+b)^2, então a^2+2*a*b+b^2 \n  - Se  (a-b)^2, então a^2-2*a*b+b^2	NO
PS	1	PS	Que operação pode ser aplicada sobre <eq *>?	NO
PS	2	PS	Qual relação se estabelece entre o produto notável Produto da Soma pela Diferença?	NO
PS	3	PS	Utilize o produto notável: \n - Se (a+b)*(a-b), então a^2-b^2	NO
BK	1	BK	A equação está descrita na forma geral: ax^2+bx+c=0?	NO
BK	2	BK	Você identificou os coeficientes a, b e c da equação de 2º grau?	NO
BK	3	BK	Para resolvermos uma equação do 2º grau devemos escrever a equação na sua forma geral ax^2+bx+c=0, identificar os coeficientes da equação e, após, aplicar a fórmula de Bhaskara.	NO
RC	1	RC	O que devemos fazer quando há uma raiz no denominador?	NO
RC	2	RC	É comum multiplicarmos esta fração pelo denominador, de modo a eliminar a raiz gerando uma fração equivalente com denominador racional.	NO
RC	3	RC	Multiplique a fração dada por outra equivalente de modo a obter uma fração com denominador inteiro.	NO
RC	4	RC	Se  a/bR2, então a/bR2*bR2/bR2, ou, se a/(b+c)R2, então,  a/(b+c)R2*(b-c)R2/(b-c)R2.	NO
RC	5	RC	Multiplique a fração de modo a obter <PP>.	NO
FT	1	FT	É possível simplificar este valor?	NO
FT	2	FT	Decomponha este valor em produto de fatores.	NO
FT	3	FT	Fatore o número, resultando em <PP>.	NO
PT	1	PT	Quando há um expoente elevando o valor, qual operação devemos aplicar? 	NO
PT	2	PT	Considerando a operação <eq t^>^2 devemos aplicar quadrado do termo, logo o produto do termo pelo termo (<eq t^>*<eq t^>).	NO
PT	3	PT	Calcule a potência indicada, resultando em <PP>.	NO
RZ	1	RZ	Quando <eq R> calcular a raiz quadrado do valor.	NO
RZ	2	RZ	Que valor que multiplicado por ele mesmo resulta em <eq tR>?	NO
RZ	3	RZ	Calcule a raiz indicada, resultando em <PP>.	NO
EqPrim_Ad_Num	1	AD	Você aplicou corretamente a operação especificada?	AO
EqPrim_Sb_Num	1	SB	Você aplicou corretamente a operação especificada?	AO
EqPrim_Mt_Num	1	MT	Você aplicou corretamente a operação especificada?	AO
EqPrim_Dv_Num	1	DV	Você aplicou corretamente a operação especificada?	AO
EqPrim_Ad_Inc	1	AD	Você aplicou corretamente a operação especificada?	AO
EqPrim_Sb_Inc	1	SB	Você aplicou corretamente a operação especificada?	AO
EqPrim_Mt_Inc	1	MT	Você aplicou corretamente a operação especificada?	AO
EqPrim_Dv_Inc	1	DV	Você aplicou corretamente a operação especificada?	AO
EqPrim_Dv_Simp	1	DV	Você aplicou corretamente a operação especificada?	AO
EqPrim_Ad_Num	2	AD	Aplique novamente a operação de X sobre os mesmos termos e confira novamente o resultado obtido.	RA
EqPrim_Sb_Num	2	SB	Aplique novamente a operação de X sobre os mesmos termos e confira novamente o resultado obtido.	RA
EqPrim_Mt_Num	2	MT	Aplique novamente a operação de X sobre os mesmos termos e confira novamente o resultado obtido.	RA
EqPrim_Dv_Num	2	DV	Aplique novamente a operação de X sobre os mesmos termos e confira novamente o resultado obtido.	RA
EqPrim_Ad_Inc	2	AD	Aplique novamente a operação de X sobre os mesmos termos e confira novamente o resultado obtido.	RA
EqPrim_Sb_Inc	2	SB	Aplique novamente a operação de X sobre os mesmos termos e confira novamente o resultado obtido.	RA
EqPrim_Mt_Inc	2	MT	Aplique novamente a operação de X sobre os mesmos termos e confira novamente o resultado obtido.	RA
EqPrim_Dv_Inc	2	DV	Aplique novamente a operação de X sobre os mesmos termos e confira novamente o resultado obtido.	RA
EqPrim_Dv_Simp	2	DV	Aplique novamente a operação de X sobre os mesmos termos e confira novamente o resultado obtido.	RA
EqPrim_Ad_Num	3	AD	O resultado correto desta operação é <PP>	ER
EqPrim_Sb_Num	3	SB	O resultado correto desta operação é <PP>	ER
EqPrim_Mt_Num	3	MT	O resultado correto desta operação é <PP>	ER
EqPrim_Dv_Num	3	DV	O resultado correto desta operação é <PP>	ER
EqPrim_Ad_Inc	3	AD	O resultado correto desta operação é <PP>	ER
EqPrim_Sb_Inc	3	SB	O resultado correto desta operação é <PP>	ER
EqPrim_Mt_Inc	3	MT	O resultado correto desta operação é <PP>	ER
EqPrim_Dv_Inc	3	DV	O resultado correto desta operação é <PP>	ER
EqPrim_Dv_Simp	3	DV	O resultado correto desta operação é <PP>	ER
EqPrim_Mt_Sin	1	MT	O sinal do valor que você obteve está correto? Tem certeza?	AO
EqPrim_Dv_Sin	1	DV	O sinal do valor que você obteve está correto? Tem certeza?	AO
EqPrim_Mt_Sin	2	MT	Lembre-se que nesta operação os sinais dos termos também são operados.	EQ
EqPrim_Dv_Sin	2	DV	Lembre-se que nesta operação os sinais dos termos também são operados.	EQ
EqPrim_Mt_Sin	3	MT	O resultado correto é <PP>.	ER
EqPrim_Dv_Sin	3	DV	O resultado correto é <PP>.	ER
EqPrim_OpPrim_Ad_Num/Inc	1	AD	Tem certeza que é possível  somar<eq t+> com <eq +t>?#TE	NO
EqPrim_OpPrim_Sb_Num/Inc	1	SB	Tem certeza que é possível  subtrair <eq t-> com <eq -t>?#TE	NO
EqPrim_OpPrim_Ad_Num/Inc	2	AD	Quais os requisitos necessários pra se realizar uma operação de soma/subtração sobre um número e uma incógnita?	DC
EqPrim_OpPrim_Sb_Num/Inc	2	SB	Quais os requisitos necessários pra se realizar uma operação de soma/subtração sobre um número e uma incógnita?	DC
EqPrim_OpPrim_Ad_Num/Inc	3	AD	Você não pode operar um inteiro com uma incógnita.	DC
