Operação	Nível	Conteúdo	Descrição	Animation
AD	1	AD	Há dois termos nesta equação que você pode somar. Tente descobrir quais são eles.	EI
AD	2	AD	Qual operação você deve fazer entre os termos <eq t+> e <eq +t>?	TE
AD	3	AD	Os termos <eq t+>  e <eq +t> devem ser somados.	EQ
AD	4	AD	Qual o resultado de: <eq +>?	EO
AD	5	AD	Se você fizer <eq +>, o próximo passo (a linha inteira) da equação fica <PP>.	ER
SB	1	SB	Há dois termos nesta equação que você pode subtrair. Tente descobrir quais são eles.	EI
SB	2	SB	Qual operação você deve fazer entre os termos <eq t-> e <eq -t>?	TE
SB	3	SB	Os termos <eq t-> e <eq -t> devem ser subtraídos.	EQ
SB	4	SB	Qual o resultado de: <eq ->?	EO
SB	5	SB	Se você fizer <eq ->, o próximo passo (a linha inteira) da equação fica <PP>.	ER
MT	1	MT	Há dois termos nesta equação que você pode multiplicar. Tente descobrir quais são eles.	EI
MT	2	MT	Qual operação você deve fazer entre os termos <eq t*> e <eq *t>?	TE
MT	3	MT	Os termos <eq t*>  e <eq *t>  devem ser multiplicados.	EQ
MT	4	MT	Qual o resultado de: <eq *>?	EO
MT	5	MT	Se você fizer <eq *>, o próximo passo (a linha inteira) da equação fica <PP>.	ER
DV	1	DV	Há dois termos nesta equação que você pode dividir. Tente descobrir quais são eles.	EI
DV	2	DV	Qual operação você deve fazer entre os termos <eq t/> e <eq /t>?	TE
DV	3	DV	Os termos <eq t/>  e <eq /t>  devem ser divididos.	EQ
DV	4	DV	Qual o resultado de: <eq t/> / <eq /t>?	EO
DV	5	DV	Se você fizer  <eq />, o próximo passo (a linha inteira) da equação fica <PP>.	ER
DM	1	DM	Como você deve fazer para multiplicar <eq t*> por (x+8)??	TE
DM	2	DM	Para resolver <eq *>, primeiramente multiplique <eq t*> pelo primeiro termo da e depois pelo segundo termo da expressão <eq *t>.?	TE
DM	3	DM	Você sabia que a multiplicação 2*(x+8) é igual a 2x+16??	TE
DM	4	DM	Se você fizer <eq *>, o próximo passo (a linha inteira) da equação fica <PP>.?	ER
MM	1	MM	Você viu que tem frações nesta equação? Como você deve fazer a equivalência delas?	TF
MM	2	MM	Observe que as frações a serem operadas possuem denominadores diferentes. Para realizar as operações nos  numeradores, (parte de cima da fração), você precisa transformar as frações de forma que todas tenham o mesmo denominador. Como você pode fazer isso?	TF
MM	3	MM	Para realizar as operações sobre os numeradores das frações, você tem que calcular o Mínimo Múltiplo Comum dos termos <eq /t1> <eq /t2> <eq /t3>. Esse será o denominador das novas frações.	TF 
MM	4	MM	Calculado o Mínimo Múltiplo Comum dos termos <eq /t1> <eq /t2> <eq /t3>. Coloque-o como denominador da fração e tente descobrir como fica o numerador das frações. 	TF
MM	5	MM	O próximo passo (a linha inteira) da equação fica <PP>.	ER
OI	1	OI	Essa equação possui dois termos que podem ser operados (somados, subtraídos, etc). Mas, eles estão em lados opostos da equação (separados pelo sinal de igualdade). O que você pode fazer para deixar esses termos no mesmo lado?	LE
